		prev (NNPDF4.0-like)	prev (NNPDF4.0-like)	next (NNPDF4.0-like)	next (NNPDF4.0-like)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.089	1.119	1.0911626652876842	1.1200005572728693
$\Sigma$	$\beta$	1.475	3.119	1.4666353570224118	3.025161606834051
$g$	$\alpha$	0.7504	1.098	0.7720595598998455	1.0709514503998685
$g$	$\beta$	2.814	5.669	3.0132212873469832	5.281917151739647
$V$	$\alpha$	0.479	0.7384	0.5470902037132555	0.7353740666954636
$V$	$\beta$	1.549	3.532	1.5327922497475694	3.1031264177276308
$V3$	$\alpha$	0.1073	0.4397	0.1781964602297294	0.3830493287842771
$V3$	$\beta$	1.733	3.458	1.7556823348696917	3.4815100953644116
$V8$	$\alpha$	0.5507	0.7837	0.5757709267333077	0.7490249353508448
$V8$	$\beta$	1.516	3.356	1.6009487586939533	3.4924944569107783
$T3$	$\alpha$	-0.4506	0.9305	-0.3854209840330603	1.0181475608941342
$T3$	$\beta$	1.745	3.424	1.7684851173520346	3.2137734155698365
$T8$	$\alpha$	0.5877	0.8687	0.5899172816370948	0.8620818611622607
$T8$	$\beta$	1.522	3.515	1.5699869338670394	3.1255908695715346
$T15$	$\alpha$	1.089	1.141	1.0900175283881914	1.139928314766813
$T15$	$\beta$	1.492	3.222	1.525802957289802	2.981461069514479
