Dataset	Training fraction	Weight	C-factors	Other fields
NMC_NC_NOTFIXED_EM-F2	0.75	1	-	custom_group: unset, variant: ('legacy_dw',)
NMC_NC_NOTFIXED_P_EM-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
SLAC_NC_NOTFIXED_P_EM-F2	0.75	1	-	custom_group: unset, variant: ('legacy_dw',)
SLAC_NC_NOTFIXED_D_EM-F2	0.75	1	-	custom_group: unset, variant: ('legacy_dw',)
BCDMS_NC_NOTFIXED_P_EM-F2	0.75	1	-	custom_group: unset, variant: ('legacy_dw',)
BCDMS_NC_NOTFIXED_D_EM-F2	0.75	1	-	custom_group: unset, variant: ('legacy_dw',)
CHORUS_CC_NOTFIXED_PB_NU-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy_dw',)
CHORUS_CC_NOTFIXED_PB_NB-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy_dw',)
NUTEV_CC_NOTFIXED_FE_NU-SIGMARED	0.75	1	MAS	custom_group: unset, variant: ('legacy_dw',)
NUTEV_CC_NOTFIXED_FE_NB-SIGMARED	0.75	1	MAS	custom_group: unset, variant: ('legacy_dw',)
HERA_NC_318GEV_EM-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_NC_225GEV_EP-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_NC_251GEV_EP-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_NC_300GEV_EP-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_NC_318GEV_EP-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_CC_318GEV_EM-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_CC_318GEV_EP-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_NC_318GEV_EAVG_CHARM-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
HERA_NC_318GEV_EAVG_BOTTOM-SIGMARED	0.75	1	-	custom_group: unset, variant: ('legacy',)
DYE866_Z0_800GEV_DW_RATIO_PDXSECRATIO	0.75	1	-	custom_group: unset, variant: ('legacy',)
DYE866_Z0_800GEV_PXSEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
DYE605_Z0_38P8GEV_DW_PXSEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
DYE906_Z0_120GEV_DW_PDXSECRATIO	0.75	1	ACC	custom_group: unset, variant: ('legacy',)
CDF_Z0_1P96TEV_ZRAP	0.75	1	-	custom_group: unset, variant: ('legacy',)
D0_Z0_1P96TEV_ZRAP	0.75	1	-	custom_group: unset, variant: ('legacy',)
D0_WPWM_1P96TEV_ASY	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_WPWM_7TEV_36PB_ETA	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_7TEV_36PB_ETA	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_7TEV_49FB_HIMASS	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_7TEV_LOMASS_M	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_WPWM_7TEV_46FB_CC-ETA	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_7TEV_46FB_CC-Y	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_7TEV_46FB_CF-Y	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_8TEV_HIMASS_M-Y	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_8TEV_LOWMASS_M-Y	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0_13TEV_TOT	0.75	1	NRM	custom_group: unset, variant: ('legacy',)
ATLAS_WPWM_13TEV_TOT	0.75	1	NRM	custom_group: unset, variant: ('legacy',)
ATLAS_WJ_8TEV_WP-PT	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_WJ_8TEV_WM-PT	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_Z0J_8TEV_PT-M	0.75	1	-	custom_group: unset, variant: ('legacy_10',)
ATLAS_Z0J_8TEV_PT-Y	0.75	1	-	custom_group: unset, variant: ('legacy_10',)
ATLAS_TTBAR_7TEV_TOT_X-SEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_TTBAR_8TEV_TOT_X-SEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_TTBAR_13TEV_TOT_X-SEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_TTBAR_8TEV_LJ_DIF_YT-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_TTBAR_8TEV_LJ_DIF_YTTBAR-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_TTBAR_8TEV_2L_DIF_YTTBAR-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_1JET_8TEV_R06_PTY	0.75	1	-	custom_group: unset, variant: ('legacy_decorrelated',)
ATLAS_2JET_7TEV_R06_M12Y	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_PH_13TEV_XSEC	0.75	1	EWK	custom_group: unset, variant: ('legacy',)
ATLAS_SINGLETOP_7TEV_TCHANNEL-XSEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_SINGLETOP_13TEV_TCHANNEL-XSEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_SINGLETOP_7TEV_T-Y-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_SINGLETOP_7TEV_TBAR-Y-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_SINGLETOP_8TEV_T-RAP-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
ATLAS_SINGLETOP_8TEV_TBAR-RAP-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_WPWM_7TEV_ELECTRON_ASY	0.75	1	-	custom_group: unset
CMS_WPWM_7TEV_MUON_ASY	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_Z0_7TEV_DIMUON_2D	0.75	1	-	custom_group: unset
CMS_WPWM_8TEV_MUON_Y	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_Z0J_8TEV_PT-Y	0.75	1	NRM	custom_group: unset, variant: ('legacy_10',)
CMS_2JET_7TEV_M12Y	0.75	1	-	custom_group: unset
CMS_1JET_8TEV_PTY	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_7TEV_TOT_X-SEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_8TEV_TOT_X-SEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_13TEV_TOT_X-SEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_8TEV_LJ_DIF_YTTBAR-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_5TEV_TOT_X-SEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_8TEV_2L_DIF_MTTBAR-YT-NORM	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_13TEV_2L_DIF_YT	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_TTBAR_13TEV_LJ_2016_DIF_YT	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_SINGLETOP_7TEV_TCHANNEL-XSEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_SINGLETOP_8TEV_TCHANNEL-XSEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
CMS_SINGLETOP_13TEV_TCHANNEL-XSEC	0.75	1	-	custom_group: unset, variant: ('legacy',)
LHCB_Z0_7TEV_DIELECTRON_Y	0.75	1	-	custom_group: unset
LHCB_Z0_8TEV_DIELECTRON_Y	0.75	1	-	custom_group: unset
LHCB_WPWM_7TEV_MUON_Y	0.75	1	NRM	custom_group: unset
LHCB_Z0_7TEV_MUON_Y	0.75	1	NRM	custom_group: unset
LHCB_WPWM_8TEV_MUON_Y	0.75	1	NRM	custom_group: unset
LHCB_Z0_8TEV_MUON_Y	0.75	1	NRM	custom_group: unset
LHCB_Z0_13TEV_DIMUON-Y	0.75	1	-	custom_group: unset
LHCB_Z0_13TEV_DIELECTRON-Y	0.75	1	-	custom_group: unset
