		prev (Current Fit)	prev (Current Fit)	next (Current Fit)	next (Current Fit)
		Min	Max	Min	Max
$\Sigma$	$\alpha$	1.091	1.119	1.0888579891084218	1.118508787075633
$\Sigma$	$\beta$	1.471	3.021	1.4754450663047347	3.119376692784776
$g$	$\alpha$	0.7795	1.095	0.7503893099138851	1.0982191092065179
$g$	$\beta$	2.742	5.547	2.8144978593660395	5.6686415471893605
$V$	$\alpha$	0.472	0.7576	0.4789891114629674	0.7384166760277502
$V$	$\beta$	1.571	3.559	1.549183344269249	3.531501745991616
$V3$	$\alpha$	0.07483	0.4501	0.1073394747583658	0.43973037306236573
$V3$	$\beta$	1.714	3.467	1.7334165828034596	3.457956813359939
$V8$	$\alpha$	0.5731	0.779	0.5507498360785625	0.7837169930445138
$V8$	$\beta$	1.555	3.465	1.5164547928421932	3.3556878409342183
$T3$	$\alpha$	-0.5498	1.0	-0.4505766777048531	0.9305373830398674
$T3$	$\beta$	1.778	3.5	1.7450536300948525	3.4243407395966474
$T8$	$\alpha$	0.5469	0.857	0.5876554583935043	0.8687335216448329
$T8$	$\beta$	1.555	3.391	1.521942484119503	3.515069346081527
$T15$	$\alpha$	1.081	1.142	1.0889426433461957	1.1414138272813714
$T15$	$\beta$	1.491	3.092	1.4916307235695079	3.2216356105665396
